Booking ID,Guest ID,Gender,Age,Property Type,City,Room Type,Booking Date,Check-in Date,Check-out Date,Stay Length (Days),Number of Guests,Price per Night,Total Cost,Discount,Final Cost,Booking Source,Payment Method,Review Score
HB_10020,GUEST_7276,Female,33,Airbnb,Barcelona,Double,2025-01-29,2025-02-24,2025-03-06,10,2,59.59,595.9,69.1,526.8,Website,PayPal,2
HB_10021,GUEST_4394,Female,35,Airbnb,New York,Studio,2024-06-02,2024-06-27,2024-06-30,3,5,186.27,558.81,80.15,478.66,App,Bank Transfer,4
HB_10022,GUEST_7875,Female,74,Hotel,New York,Apartment,2024-03-22,2024-05-21,2024-06-03,13,4,270.62,3518.06,404.19,3113.87,Phone,Bank Transfer,4
HB_10023,GUEST_7072,Female,62,Airbnb,Sydney,Suite,2023-11-24,2024-01-20,2024-01-25,5,2,246.95,1234.75,192.08,1042.67,App,Bank Transfer,5
HB_10024,GUEST_6983,Male,73,Hotel,Tokyo,Suite,2024-10-23,2024-11-18,2024-11-19,1,4,389.5,389.5,44.22,345.28,Phone,Credit Card,3
HB_10025,GUEST_1315,Female,55,Airbnb,London,Double,2024-12-08,2025-01-20,2025-01-28,8,5,90.55,724.4,6.72,717.68,Website,PayPal,3
HB_10026,GUEST_2293,Female,73,Hotel,Sydney,Single,2024-07-07,2024-07-18,2024-07-25,7,1,277.53,1942.71,7.93,1934.78,Phone,Bank Transfer,1
HB_10027,GUEST_2756,Male,71,Hotel,Dubai,Double,2025-03-28,2025-05-12,2025-05-19,7,5,333.25,2332.75,194.21,2138.54,App,Credit Card,4
HB_10028,GUEST_2817,Male,73,Airbnb,Tokyo,Apartment,2024-05-21,2024-06-27,2024-07-11,14,1,410.96,5753.44,649.79,5103.65,Travel Agent,Bank Transfer,2
HB_10029,GUEST_7445,Male,59,Airbnb,Paris,Suite,2024-04-23,2024-06-09,2024-06-10,1,4,154.91,154.91,1.47,153.44,Travel Agent,PayPal,5
HB_10030,GUEST_3327,Female,75,Airbnb,Sydney,Suite,2024-08-19,2024-10-13,2024-10-23,10,5,388.92,3889.2,364.58,3524.62,Website,PayPal,1
HB_10031,GUEST_3146,Female,36,Airbnb,Paris,Apartment,2025-03-22,2025-04-24,2025-05-05,11,2,73.35,806.85,73.12,733.73,App,PayPal,3
HB_10032,GUEST_5387,Male,72,Airbnb,Tokyo,Apartment,2023-10-07,2023-11-10,2023-11-22,12,5,367.2,4406.4,287.42,4118.98,Travel Agent,Bank Transfer,4
HB_10033,GUEST_1812,Female,52,Hotel,Dubai,Single,2025-01-03,2025-02-04,2025-02-06,2,1,83.68,167.36,6.85,160.51,Phone,Bank Transfer,1
HB_10034,GUEST_3797,Female,51,Hotel,Barcelona,Suite,2024-04-24,2024-05-01,2024-05-14,13,2,343.53,4465.89,253.48,4212.41,Phone,PayPal,1
HB_10035,GUEST_9742,Female,42,Airbnb,Dubai,Double,2024-01-18,2024-01-24,2024-01-31,7,4,169.85,1188.95,148.65,1040.3,App,PayPal,2
HB_10036,GUEST_1206,Male,27,Hotel,Dubai,Single,2024-08-03,2024-09-07,2024-09-14,7,2,478.1,3346.7,474.39,2872.31,Travel Agent,PayPal,2
HB_10037,GUEST_6446,Male,37,Airbnb,Paris,Apartment,2024-02-16,2024-03-07,2024-03-21,14,3,113.85,1593.9,215.31,1378.59,Website,Credit Card,3
HB_10038,GUEST_7055,Female,51,Hotel,London,Apartment,2025-03-24,2025-03-26,2025-04-04,9,1,450.6,4055.4,217.09,3838.31,Phone,Bank Transfer,3
HB_10039,GUEST_8370,Male,48,Hotel,Tokyo,Apartment,2024-02-26,2024-04-01,2024-04-14,13,4,286.85,3729.05,36.54,3692.51,Website,Bank Transfer,2
HB_10040,GUEST_9385,Male,58,Hotel,New York,Single,2025-01-22,2025-02-20,2025-03-06,14,1,207.03,2898.42,474.71,2423.71,Website,Credit Card,4
HB_10041,GUEST_7271,Male,44,Airbnb,New York,Studio,2025-05-29,2025-06-29,2025-07-02,3,5,388.19,1164.57,215.83,948.74,App,Credit Card,1
HB_10042,GUEST_7882,Female,43,Airbnb,Paris,Double,2024-09-08,2024-10-31,2024-11-09,9,3,153.47,1381.23,37.03,1344.2,App,Credit Card,3
HB_10043,GUEST_7220,Female,61,Airbnb,Tokyo,Suite,2023-09-18,2023-09-25,2023-09-26,1,5,62.73,62.73,3.16,59.57,Website,PayPal,2
HB_10044,GUEST_9586,Female,59,Airbnb,New York,Single,2025-05-20,2025-06-25,2025-07-01,6,2,160.01,960.06,122.55,837.51,Phone,Bank Transfer,4
HB_10045,GUEST_4707,Male,79,Airbnb,Sydney,Studio,2023-08-28,2023-09-17,2023-09-25,8,3,480.36,3842.88,296.24,3546.64,Website,Bank Transfer,4
HB_10046,GUEST_2515,Male,51,Hotel,Barcelona,Apartment,2025-01-22,2025-03-17,2025-03-28,11,1,144.63,1590.93,85.97,1504.96,Phone,Bank Transfer,3
HB_10047,GUEST_8352,Male,54,Hotel,Paris,Apartment,2023-10-08,2023-10-22,2023-10-26,4,4,274.32,1097.28,177.34,919.94,Phone,PayPal,4
HB_10048,GUEST_1920,Male,74,Airbnb,Barcelona,Single,2024-10-24,2024-12-19,2024-12-21,2,2,474.68,949.36,124.63,824.73,Website,PayPal,2
HB_10049,GUEST_8212,Female,56,Airbnb,New York,Double,2023-09-24,2023-11-20,2023-12-01,11,1,272.67,2999.37,464.83,2534.54,App,PayPal,4
HB_10050,GUEST_6615,Female,56,Airbnb,Sydney,Single,2025-05-31,2025-07-15,2025-07-17,2,1,119.62,239.24,1.34,237.9,App,PayPal,5
HB_10051,GUEST_7396,Female,72,Airbnb,Dubai,Double,2024-12-13,2025-02-10,2025-02-17,7,3,88.01,616.07,94.96,521.11,Travel Agent,Bank Transfer,3
HB_10052,GUEST_9510,Female,60,Airbnb,Tokyo,Studio,2023-06-30,2023-07-09,2023-07-13,4,4,57.24,228.96,23.43,205.53,Website,Bank Transfer,2
HB_10053,GUEST_6991,Female,59,Airbnb,New York,Studio,2025-01-13,2025-02-19,2025-03-05,14,2,473.03,6622.42,1279.23,5343.19,Phone,PayPal,5
HB_10054,GUEST_8504,Female,48,Hotel,London,Single,2023-07-25,2023-08-25,2023-09-01,7,1,81.07,567.49,77.1,490.39,Travel Agent,PayPal,5
HB_10055,GUEST_4346,Male,71,Hotel,New York,Apartment,2023-12-09,2023-12-13,2023-12-27,14,4,195.57,2737.98,333.79,2404.19,Phone,Credit Card,3
HB_10056,GUEST_9644,Male,29,Hotel,Tokyo,Double,2025-01-27,2025-03-13,2025-03-15,2,3,454.05,908.1,117.96,790.14,Website,Credit Card,3
HB_10057,GUEST_8474,Male,22,Hotel,Paris,Apartment,2025-01-07,2025-03-04,2025-03-16,12,3,406.8,4881.6,43.49,4838.11,Website,PayPal,1
HB_10058,GUEST_6665,Male,80,Hotel,Paris,Single,2024-01-14,2024-01-16,2024-01-25,9,5,179.8,1618.2,78.68,1539.52,Travel Agent,PayPal,2
HB_10059,GUEST_3237,Female,29,Airbnb,New York,Suite,2024-02-17,2024-04-16,2024-04-26,10,1,424.83,4248.3,460.14,3788.16,App,Credit Card,1
HB_10060,GUEST_7727,Male,55,Hotel,New York,Studio,2024-01-01,2024-02-12,2024-02-23,11,4,158.76,1746.36,335.37,1410.99,Website,Credit Card,4
HB_10061,GUEST_3379,Male,50,Airbnb,London,Studio,2025-01-11,2025-02-24,2025-03-05,9,4,81.64,734.76,87.34,647.42,Website,Credit Card,5
HB_10062,GUEST_9735,Male,32,Airbnb,New York,Apartment,2024-05-14,2024-06-05,2024-06-08,3,4,208.15,624.45,7.98,616.47,Travel Agent,Bank Transfer,3
HB_10063,GUEST_3764,Male,39,Hotel,Paris,Suite,2025-01-13,2025-02-08,2025-02-11,3,2,166.08,498.24,0.11,498.13,Travel Agent,Credit Card,1
HB_10064,GUEST_5451,Male,48,Airbnb,Barcelona,Single,2024-02-15,2024-04-01,2024-04-08,7,4,417.47,2922.29,103.02,2819.27,Travel Agent,PayPal,3
HB_10065,GUEST_5251,Male,63,Hotel,Sydney,Studio,2024-07-23,2024-08-23,2024-08-28,5,3,80.56,402.8,34.09,368.71,App,PayPal,5
HB_10066,GUEST_4590,Male,24,Hotel,Dubai,Suite,2023-11-14,2023-11-16,2023-11-27,11,1,99.49,1094.39,113.72,980.67,App,Bank Transfer,1
HB_10067,GUEST_9555,Female,33,Airbnb,Barcelona,Suite,2025-04-29,2025-05-20,2025-05-24,4,2,434.54,1738.16,209.1,1529.06,App,Bank Transfer,2
HB_10068,GUEST_6393,Male,78,Airbnb,London,Double,2025-03-28,2025-05-09,2025-05-15,6,4,469.14,2814.84,130.36,2684.48,Travel Agent,Credit Card,2
HB_10069,GUEST_2658,Male,58,Airbnb,Dubai,Apartment,2024-01-10,2024-02-28,2024-03-02,3,3,172.85,518.55,7.52,511.03,Phone,Bank Transfer,4
HB_10070,GUEST_1969,Male,60,Airbnb,Dubai,Studio,2023-11-19,2024-01-02,2024-01-10,8,2,446.03,3568.24,702.1,2866.14,Website,PayPal,5
HB_10071,GUEST_3815,Male,50,Hotel,Sydney,Suite,2025-05-27,2025-07-12,2025-07-26,14,5,473.05,6622.7,355.14,6267.56,Travel Agent,PayPal,2
HB_10072,GUEST_6848,Female,44,Airbnb,Paris,Suite,2025-05-19,2025-06-03,2025-06-14,11,4,91.71,1008.81,81.94,926.87,App,Credit Card,4
HB_10073,GUEST_7351,Female,18,Airbnb,Dubai,Single,2024-01-19,2024-02-27,2024-03-10,12,2,143.62,1723.44,309.77,1413.67,Website,Credit Card,1
HB_10074,GUEST_1734,Male,52,Hotel,Sydney,Double,2024-03-24,2024-05-10,2024-05-21,11,4,50.88,559.68,31.93,527.75,App,PayPal,3
HB_10075,GUEST_7743,Female,68,Hotel,Sydney,Apartment,2023-12-11,2024-01-15,2024-01-27,12,1,176.31,2115.72,50.5,2065.22,Travel Agent,Bank Transfer,4
HB_10076,GUEST_7916,Male,54,Hotel,Tokyo,Suite,2024-03-10,2024-03-26,2024-04-03,8,3,274.22,2193.76,155.05,2038.71,App,Bank Transfer,2
HB_10077,GUEST_6601,Female,21,Hotel,Paris,Studio,2024-08-16,2024-09-22,2024-09-27,5,4,496.13,2480.65,445.69,2034.96,App,Credit Card,4
HB_10078,GUEST_3283,Female,24,Airbnb,Dubai,Single,2024-09-17,2024-10-21,2024-11-04,14,2,269.53,3773.42,652.09,3121.33,Travel Agent,Bank Transfer,4
HB_10079,GUEST_8551,Male,24,Airbnb,Dubai,Studio,2024-05-20,2024-06-26,2024-07-10,14,2,429.13,6007.82,684.94,5322.88,App,Credit Card,1
HB_10080,GUEST_5501,Male,75,Hotel,Tokyo,Suite,2024-03-01,2024-04-15,2024-04-24,9,1,247.63,2228.67,302.42,1926.25,Travel Agent,Bank Transfer,5
HB_10081,GUEST_6663,Male,80,Airbnb,Paris,Apartment,2024-04-16,2024-06-04,2024-06-14,10,4,271.8,2718.0,29.29,2688.71,Website,Credit Card,1
HB_10082,GUEST_5396,Female,31,Airbnb,Dubai,Double,2024-11-18,2024-12-14,2024-12-18,4,1,397.48,1589.92,8.38,1581.54,Website,Bank Transfer,1
HB_10083,GUEST_3606,Female,46,Airbnb,New York,Double,2025-02-25,2025-04-06,2025-04-14,8,1,134.59,1076.72,19.27,1057.45,Travel Agent,Bank Transfer,4
HB_10084,GUEST_9514,Male,66,Airbnb,Barcelona,Suite,2024-12-15,2024-12-24,2025-01-01,8,2,207.04,1656.32,110.29,1546.03,Phone,Credit Card,5
HB_10085,GUEST_9963,Female,40,Hotel,Sydney,Studio,2024-01-28,2024-02-13,2024-02-14,1,2,107.9,107.9,5.32,102.58,Phone,Bank Transfer,4
HB_10086,GUEST_7318,Female,31,Airbnb,New York,Studio,2024-07-29,2024-08-23,2024-09-02,10,5,352.43,3524.3,346.86,3177.44,Phone,PayPal,3
HB_10087,GUEST_5945,Male,29,Hotel,London,Single,2024-10-09,2024-11-27,2024-12-08,11,1,246.94,2716.34,374.61,2341.73,Travel Agent,Bank Transfer,5
HB_10088,GUEST_1587,Female,79,Airbnb,London,Apartment,2024-03-20,2024-05-07,2024-05-21,14,2,461.62,6462.68,40.51,6422.17,App,PayPal,4
HB_10089,GUEST_7711,Female,59,Airbnb,Sydney,Single,2023-07-13,2023-07-23,2023-07-25,2,4,269.23,538.46,68.61,469.85,App,Credit Card,4
HB_10090,GUEST_3007,Male,32,Airbnb,Paris,Studio,2024-05-10,2024-06-13,2024-06-23,10,3,461.01,4610.1,550.47,4059.63,App,Credit Card,1
HB_10091,GUEST_6002,Female,56,Airbnb,London,Double,2024-12-01,2024-12-31,2025-01-13,13,3,496.3,6451.9,201.49,6250.41,App,Bank Transfer,2
HB_10092,GUEST_3928,Male,60,Hotel,Dubai,Single,2024-03-31,2024-05-18,2024-05-31,13,4,269.08,3498.04,276.24,3221.8,Travel Agent,Bank Transfer,4
HB_10093,GUEST_2831,Female,65,Hotel,Dubai,Double,2025-01-21,2025-02-24,2025-03-03,7,4,117.19,820.33,1.09,819.24,Website,Credit Card,2
HB_10094,GUEST_7683,Male,49,Airbnb,Paris,Studio,2024-09-21,2024-11-07,2024-11-11,4,1,493.26,1973.04,389.74,1583.3,Travel Agent,Credit Card,2
HB_10095,GUEST_7469,Male,71,Hotel,Paris,Apartment,2023-09-21,2023-09-24,2023-10-08,14,4,255.93,3583.02,310.86,3272.16,Phone,Credit Card,1
HB_10096,GUEST_5993,Male,66,Airbnb,Tokyo,Single,2023-11-08,2023-11-22,2023-12-05,13,1,483.4,6284.2,614.25,5669.95,Website,Credit Card,2
HB_10097,GUEST_4834,Female,21,Hotel,New York,Single,2024-09-10,2024-09-14,2024-09-21,7,3,491.45,3440.15,566.31,2873.84,Travel Agent,PayPal,3
HB_10098,GUEST_5746,Female,25,Hotel,Dubai,Studio,2023-09-17,2023-10-06,2023-10-08,2,4,200.85,401.7,29.12,372.58,Phone,Bank Transfer,1
HB_10099,GUEST_4387,Female,61,Airbnb,New York,Single,2023-07-06,2023-08-02,2023-08-07,5,2,144.83,724.15,1.35,722.8,Website,Bank Transfer,5
HB_10100,GUEST_1692,Male,28,Hotel,Tokyo,Single,2025-05-20,2025-07-02,2025-07-09,7,5,271.67,1901.69,227.17,1674.52,Travel Agent,Bank Transfer,4
HB_10101,GUEST_2877,Female,62,Hotel,New York,Studio,2024-08-19,2024-10-10,2024-10-20,10,5,388.73,3887.3,313.28,3574.02,Phone,Bank Transfer,2
HB_10102,GUEST_9580,Male,26,Hotel,London,Single,2025-03-29,2025-04-09,2025-04-12,3,1,103.23,309.69,25.59,284.1,Phone,PayPal,2
HB_10103,GUEST_3064,Female,32,Hotel,Tokyo,Apartment,2025-05-01,2025-05-12,2025-05-23,11,4,363.48,3998.28,242.44,3755.84,Phone,Bank Transfer,3
HB_10104,GUEST_2421,Female,66,Airbnb,Paris,Suite,2023-07-22,2023-08-14,2023-08-23,9,5,289.29,2603.61,365.02,2238.59,Travel Agent,PayPal,1
HB_10105,GUEST_3601,Female,36,Airbnb,Barcelona,Apartment,2025-05-26,2025-07-08,2025-07-09,1,1,344.44,344.44,4.92,339.52,App,Credit Card,5
HB_10106,GUEST_9327,Female,42,Airbnb,London,Single,2023-12-23,2024-01-22,2024-02-01,10,2,362.74,3627.4,717.42,2909.98,App,Credit Card,5
HB_10107,GUEST_8257,Male,65,Airbnb,London,Double,2025-01-11,2025-02-15,2025-02-16,1,4,398.1,398.1,21.76,376.34,Phone,Credit Card,1
HB_10108,GUEST_9880,Female,54,Airbnb,Tokyo,Double,2024-10-12,2024-11-29,2024-12-04,5,3,314.18,1570.9,42.06,1528.84,Travel Agent,PayPal,5
HB_10109,GUEST_2541,Female,33,Airbnb,Paris,Single,2024-04-05,2024-05-19,2024-05-27,8,5,399.6,3196.8,103.27,3093.53,Phone,PayPal,2
HB_10110,GUEST_4952,Male,29,Airbnb,Dubai,Suite,2025-05-17,2025-06-24,2025-07-04,10,3,167.88,1678.8,196.54,1482.26,Travel Agent,Credit Card,5
HB_10111,GUEST_7085,Male,79,Airbnb,London,Single,2024-03-08,2024-03-28,2024-04-09,12,3,236.18,2834.16,399.62,2434.54,Website,Credit Card,4
HB_10112,GUEST_7450,Female,46,Airbnb,New York,Single,2025-04-24,2025-05-03,2025-05-13,10,1,71.49,714.9,119.03,595.87,App,Credit Card,1
HB_10113,GUEST_7351,Male,45,Airbnb,Tokyo,Suite,2025-04-21,2025-05-17,2025-05-21,4,3,375.64,1502.56,116.74,1385.82,Travel Agent,Bank Transfer,4
HB_10114,GUEST_2310,Male,49,Hotel,Barcelona,Apartment,2023-07-14,2023-09-02,2023-09-12,10,3,262.15,2621.5,303.24,2318.26,Travel Agent,Credit Card,5
HB_10115,GUEST_2006,Male,23,Hotel,New York,Studio,2024-02-19,2024-04-14,2024-04-27,13,2,53.42,694.46,90.94,603.52,Travel Agent,Credit Card,2
HB_10116,GUEST_2913,Male,25,Hotel,London,Studio,2024-03-26,2024-04-01,2024-04-06,5,2,431.43,2157.15,103.08,2054.07,Phone,Credit Card,5
HB_10117,GUEST_6903,Female,73,Hotel,Sydney,Double,2025-05-26,2025-06-09,2025-06-14,5,4,498.29,2491.45,293.77,2197.68,App,Bank Transfer,5
HB_10118,GUEST_3164,Male,44,Airbnb,Barcelona,Single,2025-05-19,2025-06-14,2025-06-15,1,2,274.49,274.49,0.68,273.81,Phone,PayPal,3
HB_10119,GUEST_6930,Female,52,Hotel,Dubai,Suite,2023-08-15,2023-10-03,2023-10-17,14,1,381.87,5346.18,394.28,4951.9,App,Bank Transfer,4
HB_10120,GUEST_2411,Female,22,Hotel,Dubai,Suite,2024-07-27,2024-08-22,2024-09-04,13,1,423.47,5505.11,301.26,5203.85,Website,Bank Transfer,2
HB_10121,GUEST_5298,Female,27,Airbnb,Dubai,Studio,2025-01-23,2025-03-05,2025-03-09,4,2,422.56,1690.24,109.01,1581.23,Travel Agent,PayPal,3
HB_10122,GUEST_9692,Female,45,Hotel,New York,Single,2024-06-07,2024-06-20,2024-06-26,6,2,418.25,2509.5,103.13,2406.37,Travel Agent,Credit Card,3
HB_10123,GUEST_9419,Female,31,Hotel,New York,Apartment,2024-09-16,2024-09-30,2024-10-06,6,4,239.85,1439.1,2.44,1436.66,Travel Agent,PayPal,1
HB_10124,GUEST_7140,Female,37,Hotel,Paris,Studio,2024-12-06,2025-01-21,2025-01-25,4,3,476.86,1907.44,111.19,1796.25,App,Bank Transfer,2
HB_10125,GUEST_9093,Female,40,Airbnb,Tokyo,Apartment,2025-05-14,2025-05-29,2025-06-08,10,2,311.12,3111.2,47.16,3064.04,Phone,Credit Card,4
HB_10126,GUEST_8463,Male,38,Airbnb,London,Studio,2025-02-25,2025-03-10,2025-03-22,12,3,495.75,5949.0,265.05,5683.95,Phone,Credit Card,5
HB_10127,GUEST_1266,Male,73,Hotel,Sydney,Studio,2024-01-31,2024-02-21,2024-02-29,8,1,242.72,1941.76,387.34,1554.42,Travel Agent,PayPal,4
HB_10128,GUEST_4943,Male,54,Hotel,Barcelona,Suite,2024-10-15,2024-10-21,2024-10-23,2,1,193.22,386.44,45.35,341.09,App,PayPal,1
HB_10129,GUEST_4943,Male,47,Airbnb,Sydney,Single,2025-06-09,2025-07-16,2025-07-27,11,1,167.26,1839.86,118.7,1721.16,Phone,Credit Card,4
HB_10130,GUEST_7095,Female,62,Airbnb,Paris,Studio,2023-11-07,2023-11-19,2023-11-21,2,3,386.05,772.1,8.49,763.61,Phone,PayPal,2
HB_10131,GUEST_2137,Male,57,Airbnb,Dubai,Suite,2024-06-04,2024-06-15,2024-06-16,1,1,265.34,265.34,49.07,216.27,Phone,Bank Transfer,5
HB_10132,GUEST_7631,Female,80,Airbnb,Dubai,Apartment,2023-12-10,2024-01-25,2024-01-31,6,1,323.8,1942.8,367.1,1575.7,Website,PayPal,5
HB_10133,GUEST_8390,Male,25,Hotel,London,Studio,2025-04-26,2025-04-28,2025-05-05,7,5,330.76,2315.32,33.04,2282.28,Phone,Bank Transfer,1
HB_10134,GUEST_8775,Male,35,Hotel,New York,Single,2025-04-12,2025-06-05,2025-06-14,9,3,178.96,1610.64,214.78,1395.86,Phone,PayPal,1
HB_10135,GUEST_7186,Female,78,Airbnb,Barcelona,Double,2024-06-24,2024-07-07,2024-07-19,12,5,467.98,5615.76,573.72,5042.04,Travel Agent,Bank Transfer,1
HB_10136,GUEST_7749,Male,52,Airbnb,Sydney,Double,2024-01-14,2024-01-26,2024-02-01,6,3,316.52,1899.12,176.58,1722.54,Website,Credit Card,5
HB_10137,GUEST_3614,Female,74,Airbnb,Paris,Single,2024-07-22,2024-08-10,2024-08-20,10,2,396.27,3962.7,76.24,3886.46,Travel Agent,Credit Card,4
HB_10138,GUEST_8491,Female,50,Hotel,Sydney,Suite,2023-07-26,2023-08-13,2023-08-16,3,4,333.25,999.75,120.14,879.61,Website,PayPal,4
HB_10139,GUEST_6798,Female,72,Hotel,London,Studio,2023-08-11,2023-09-02,2023-09-06,4,4,367.93,1471.72,283.9,1187.82,Phone,Bank Transfer,2
HB_10140,GUEST_6709,Male,45,Hotel,New York,Apartment,2023-07-27,2023-08-24,2023-09-05,12,1,420.28,5043.36,817.72,4225.64,App,Bank Transfer,1
HB_10141,GUEST_3450,Male,36,Airbnb,Paris,Studio,2025-05-17,2025-06-11,2025-06-19,8,5,291.68,2333.44,82.31,2251.13,Phone,Bank Transfer,3
HB_10142,GUEST_7609,Male,24,Airbnb,London,Single,2024-07-31,2024-08-03,2024-08-15,12,5,383.55,4602.6,650.35,3952.25,Travel Agent,Bank Transfer,4
HB_10143,GUEST_7653,Male,24,Hotel,Sydney,Suite,2023-06-16,2023-07-06,2023-07-18,12,3,136.08,1632.96,26.73,1606.23,Travel Agent,Bank Transfer,4
HB_10144,GUEST_6102,Male,80,Airbnb,Paris,Double,2023-10-13,2023-12-10,2023-12-13,3,2,128.94,386.82,58.38,328.44,Phone,Bank Transfer,4
HB_10145,GUEST_9606,Male,74,Airbnb,London,Apartment,2024-08-31,2024-10-09,2024-10-21,12,3,76.4,916.8,77.35,839.45,App,Bank Transfer,1
HB_10146,GUEST_6350,Female,31,Hotel,Dubai,Suite,2024-06-18,2024-08-10,2024-08-13,3,3,493.75,1481.25,141.74,1339.51,App,PayPal,4
HB_10147,GUEST_7363,Male,18,Hotel,Sydney,Apartment,2025-03-25,2025-04-12,2025-04-24,12,3,125.96,1511.52,56.27,1455.25,Website,Bank Transfer,4
HB_10148,GUEST_6164,Male,61,Hotel,Tokyo,Studio,2024-03-05,2024-03-08,2024-03-20,12,2,284.97,3419.64,397.58,3022.06,Travel Agent,Bank Transfer,5
HB_10149,GUEST_9026,Male,63,Hotel,London,Apartment,2025-04-02,2025-05-20,2025-05-24,4,2,91.17,364.68,47.56,317.12,Phone,PayPal,1
HB_10150,GUEST_7940,Female,30,Hotel,New York,Studio,2024-06-10,2024-06-27,2024-07-06,9,2,323.91,2915.19,365.77,2549.42,App,Credit Card,3
HB_10151,GUEST_5313,Male,64,Airbnb,New York,Suite,2024-01-09,2024-02-28,2024-03-06,7,5,405.63,2839.41,136.32,2703.09,App,Bank Transfer,5
HB_10152,GUEST_4085,Female,78,Airbnb,New York,Suite,2025-06-05,2025-07-12,2025-07-21,9,5,489.21,4402.89,70.88,4332.01,Phone,PayPal,5
HB_10153,GUEST_3848,Male,58,Hotel,London,Single,2024-08-14,2024-09-26,2024-09-30,4,1,130.26,521.04,84.54,436.5,Phone,Bank Transfer,3
HB_10154,GUEST_7662,Female,38,Hotel,Sydney,Double,2023-11-07,2024-01-02,2024-01-06,4,1,56.95,227.8,32.48,195.32,Website,Credit Card,4
HB_10155,GUEST_7527,Male,25,Hotel,Sydney,Studio,2025-04-10,2025-05-26,2025-06-05,10,5,367.62,3676.2,40.4,3635.8,Website,Credit Card,4
HB_10156,GUEST_1742,Female,54,Airbnb,Paris,Single,2025-02-08,2025-03-24,2025-04-01,8,3,454.94,3639.52,9.22,3630.3,Travel Agent,PayPal,4
